"location_name","location_type","location_fips_code","population","state","county","metro","year","month","rent_change_mom","rent_change_yoy","rent_change_pandemic","price_overall","price_1br","price_2br"
"California","State",6,39356104,"California",,,2024,11,-0.0067,0.0016,0.1234,2142,1859,2196
"Arkansas","State",5,3018669,"Arkansas",,,2024,11,-0.0086,-0.011,0.2724,925,721,889
"Alaska","State",2,734821,"Alaska",,,2024,11,0.0029,0.0259,0.4302,1599,1200,1612
"Georgia","State",13,10722325,"Georgia",,,2024,11,-0.0065,-0.0259,0.1914,1298,1218,1227
"Alabama","State",1,5028092,"Alabama",,,2024,11,-0.0085,-0.0194,0.1927,982,801,938
"North Carolina","State",37,10470214,"North Carolina",,,2024,11,-0.0093,-0.0264,0.2233,1208,1109,1134
"Wisconsin","State",55,5882128,"Wisconsin",,,2024,11,-0.0088,0.0167,0.257,1165,965,1189
"Minnesota","State",27,5695292,"Minnesota",,,2024,11,-0.0056,0.0158,0.0606,1291,1140,1366
"Washington","State",53,7688549,"Washington",,,2024,11,-0.0107,0.0084,0.1308,1735,1521,1705
"District of Columbia","State",11,670587,"District of Columbia",,,2024,11,-0.0111,0.0174,0.0435,2188,2162,2220
"Delaware","State",10,993635,"Delaware",,,2024,11,4e-04,0.0395,0.3869,1484,1252,1478
"Wyoming","State",56,577929,"Wyoming",,,2024,11,-0.0029,0.0581,0.3524,1122,845,1087
"Arizona","State",4,7172282,"Arizona",,,2024,11,-0.0102,-0.0256,0.2303,1351,1131,1329
"Michigan","State",26,10057921,"Michigan",,,2024,11,-0.0067,0.0343,0.244,1153,926,1188
"Utah","State",49,3283809,"Utah",,,2024,11,-0.0128,-0.0308,0.2159,1336,1088,1264
"Tennessee","State",47,6923772,"Tennessee",,,2024,11,-0.0066,-0.0027,0.2445,1162,1017,1106
"Mississippi","State",28,2958846,"Mississippi",,,2024,11,-0.0063,0.0113,0.2915,1044,849,999
"Idaho","State",16,1854109,"Idaho",,,2024,11,-0.0139,0.015,0.2917,1096,823,1027
"Ohio","State",39,11774683,"Ohio",,,2024,11,-0.006,0.0222,0.274,1086,861,1107
"Virginia","State",51,8624511,"Virginia",,,2024,11,-0.0085,0.0386,0.2243,1733,1612,1613
"Illinois","State",17,12757634,"Illinois",,,2024,11,-0.01,0.0202,0.1984,1396,1219,1398
"Florida","State",12,21634529,"Florida",,,2024,11,-0.0049,-0.0138,0.2882,1529,1291,1526
"Iowa","State",19,3188836,"Iowa",,,2024,11,-0.0116,0.0117,0.157,1007,791,1034
"Indiana","State",18,6784403,"Indiana",,,2024,11,-0.0041,0.0154,0.3035,1100,913,1109
"Massachusetts","State",25,6984205,"Massachusetts",,,2024,11,-0.015,0.0186,0.1841,1964,1553,2089
"Colorado","State",8,5770790,"Colorado",,,2024,11,-0.0178,-0.0272,0.1585,1629,1417,1643
"New Mexico","State",35,2112463,"New Mexico",,,2024,11,-0.0031,0.0213,0.4287,1098,907,1074
"New York","State",36,19994379,"New York",,,2024,11,-0.0069,0.002,0.1925,1840,1751,1852
"South Carolina","State",45,5142750,"South Carolina",,,2024,11,-0.0086,-0.0113,0.2865,1239,1127,1187
"Maryland","State",24,6161707,"Maryland",,,2024,11,-0.0047,0.0228,0.2016,1810,1519,1854
"Missouri","State",29,6154422,"Missouri",,,2024,11,-0.0021,0.0299,0.2113,1116,929,1109
"Louisiana","State",22,4640546,"Louisiana",,,2024,11,-0.0052,0.0124,0.1903,1071,908,1068
"North Dakota","State",38,776874,"North Dakota",,,2024,11,0.0027,0.0379,0.1828,1105,926,1101
"Connecticut","State",9,3611317,"Connecticut",,,2024,11,-0.0081,0.0531,0.3168,1674,1387,1756
"Oklahoma","State",40,3970497,"Oklahoma",,,2024,11,-0.0073,0.0196,0.2781,1004,815,988
"Hawaii","State",15,1450589,"Hawaii",,,2024,11,0.0016,0.0416,0.2127,2298,1756,2331
"Oregon","State",41,4229374,"Oregon",,,2024,11,-0.0105,0.0191,0.1252,1465,1244,1449
"Pennsylvania","State",42,12989208,"Pennsylvania",,,2024,11,-0.006,0.0066,0.1896,1266,1065,1301
"Kansas","State",20,2935922,"Kansas",,,2024,11,-0.007,0.0422,0.3006,1101,892,1078
"Rhode Island","State",44,1094250,"Rhode Island",,,2024,11,-0.0149,0.0028,0.3198,1424,1101,1496
"Nevada","State",32,3104817,"Nevada",,,2024,11,-0.0073,6e-04,0.253,1441,1156,1372
"South Dakota","State",46,890342,"South Dakota",,,2024,11,1e-04,-0.0223,0.1976,869,703,903
"Kentucky","State",21,4502935,"Kentucky",,,2024,11,-0.0095,0.0329,0.2693,1047,852,1041
"Texas","State",48,29243342,"Texas",,,2024,11,-0.0082,-0.0268,0.1403,1266,1123,1258
"Mesquite, TX","City",4847892,149439,"Texas","Dallas County","Dallas-Fort Worth-Arlington, TX",2024,11,-0.0031,-0.0535,0.2158,1288,1086,1291
"Irving, TX","City",4837000,254962,"Texas","Dallas County","Dallas-Fort Worth-Arlington, TX",2024,11,-0.0109,-0.0194,0.1658,1405,1237,1522
"Farmers Branch, TX","City",4825452,35985,"Texas","Dallas County","Dallas-Fort Worth-Arlington, TX",2024,11,-0.0122,-0.0156,0.0994,1708,1587,1887
"Addison, TX","City",4801240,17026,"Texas","Dallas County","Dallas-Fort Worth-Arlington, TX",2024,11,0.0133,-0.0327,0.1374,1609,1503,1875
"Lewisville, TX","City",4842508,125028,"Texas","Denton County","Dallas-Fort Worth-Arlington, TX",2024,11,-0.0059,-0.0199,0.214,1459,1274,1602
"Grapevine, TX","City",4830644,50763,"Texas","Tarrant County","Dallas-Fort Worth-Arlington, TX",2024,11,-0.0162,-0.0502,0.1806,1791,1543,1879
"Grand Prairie, TX","City",4830464,197279,"Texas","Dallas County","Dallas-Fort Worth-Arlington, TX",2024,11,-0.0062,-0.0362,0.1634,1380,1171,1407
"Cedar Hill, TX","City",4813492,48733,"Texas","Dallas County","Dallas-Fort Worth-Arlington, TX",2024,11,0.0132,0.0661,0.2858,1891,1571,1614
"Richardson, TX","City",4861796,118063,"Texas","Dallas County","Dallas-Fort Worth-Arlington, TX",2024,11,-0.0139,-0.0439,0.1509,1642,1373,1755
"Garland, TX","City",4829000,244026,"Texas","Dallas County","Dallas-Fort Worth-Arlington, TX",2024,11,-0.0078,-0.0453,0.2113,1327,1089,1330
"Dallas, TX","City",4819000,1300642,"Texas","Dallas County","Dallas-Fort Worth-Arlington, TX",2024,11,-0.0075,-0.0258,0.1666,1337,1221,1445
"Carrollton, TX","City",4813024,132284,"Texas","Denton County","Dallas-Fort Worth-Arlington, TX",2024,11,-0.0032,-0.0314,0.2323,1580,1326,1663
"San Angelo, TX","City",4864472,99422,"Texas","Tom Green County","San Angelo, TX",2024,11,-0.0116,-0.0335,0.0868,1148,889,1162
"Tyler, TX","City",4874144,106440,"Texas","Smith County","Tyler, TX",2024,11,0.0036,-0.0049,0.2674,1108,890,1152
"Boerne, TX","City",4809160,18475,"Texas","Kendall County","San Antonio-New Braunfels, TX",2024,11,-0.0136,-0.0334,0.1659,1449,1206,1422
"Kyle, TX","City",4839952,48484,"Texas","Hays County","Austin-Round Rock-Georgetown, TX",2024,11,-0.0263,-0.0977,0.0593,1333,1150,1415
"Mansfield, TX","City",4846452,73680,"Texas","Tarrant County","Dallas-Fort Worth-Arlington, TX",2024,11,-0.0063,-0.0324,0.1874,1693,1458,1706
"Webster, TX","City",4876948,12297,"Texas","Harris County","Houston-The Woodlands-Sugar Land, TX",2024,11,-0.0105,-6e-04,0.1719,1328,1226,1563
"Pasadena, TX","City",4856000,150620,"Texas","Harris County","Houston-The Woodlands-Sugar Land, TX",2024,11,-0.0103,0.0044,0.158,1262,1053,1273
"Jersey Village, TX","City",4837612,7763,"Texas","Harris County","Houston-The Woodlands-Sugar Land, TX",2024,11,0.0033,-0.0347,0.1363,1316,1262,1504
"Humble, TX","City",4835348,16563,"Texas","Harris County","Houston-The Woodlands-Sugar Land, TX",2024,11,-0.0017,-0.0089,0.1377,1182,1045,1221
"Conroe, TX","City",4816432,92475,"Texas","Montgomery County","Houston-The Woodlands-Sugar Land, TX",2024,11,-0.0148,-0.0446,0.1337,1269,1169,1316
"Tomball, TX","City",4873316,12630,"Texas","Harris County","Houston-The Woodlands-Sugar Land, TX",2024,11,-0.0042,0.0034,0.2014,1267,1039,1461
"Houston, TX","City",4835000,2296253,"Texas","Harris County","Houston-The Woodlands-Sugar Land, TX",2024,11,-0.0046,0.0022,0.1002,1297,1145,1357
"College Station, TX","City",4815976,120451,"Texas","Brazos County","College Station-Bryan, TX",2024,11,-0.0045,0.008,0.1994,1231,1072,1135
"Round Rock, TX","City",4863500,120465,"Texas","Williamson County","Austin-Round Rock-Georgetown, TX",2024,11,-0.0077,-0.078,0.1201,1390,1129,1366
"Pflugerville, TX","City",4857176,64528,"Texas","Travis County","Austin-Round Rock-Georgetown, TX",2024,11,-0.0099,-0.0772,0.1048,1552,1289,1489
"Leander, TX","City",4842016,62491,"Texas","Williamson County","Austin-Round Rock-Georgetown, TX",2024,11,-0.0153,-0.0922,0.0084,1526,1123,1187
"Cedar Park, TX","City",4813552,76344,"Texas","Williamson County","Austin-Round Rock-Georgetown, TX",2024,11,-0.0219,-0.0816,0.0649,1488,1188,1526
"Austin, TX","City",4805000,958202,"Texas","Travis County","Austin-Round Rock-Georgetown, TX",2024,11,-0.0105,-0.0673,0.0845,1411,1250,1522
"Sherman, TX","City",4867496,44052,"Texas","Grayson County","Sherman-Denison, TX",2024,11,-0.0075,-0.0223,0.2532,1278,996,1270
"Waxahachie, TX","City",4876816,41801,"Texas","Ellis County","Dallas-Fort Worth-Arlington, TX",2024,11,-0.005,-0.0024,0.2573,1579,1499,1471
"Abilene, TX","City",4801000,126356,"Texas","Taylor County","Abilene, TX",2024,11,-4e-04,-0.0096,0.2253,1113,867,1111
"Universal City, TX","City",4874408,19798,"Texas","Bexar County","San Antonio-New Braunfels, TX",2024,11,-0.0147,-0.0115,0.1684,1157,1034,1158
"San Antonio, TX","City",4865000,1445662,"Texas","Bexar County","San Antonio-New Braunfels, TX",2024,11,-0.0098,-0.0301,0.129,1188,1015,1250
"North Richland Hills, TX","City",4852356,70114,"Texas","Tarrant County","Dallas-Fort Worth-Arlington, TX",2024,11,-0.0048,-0.0083,0.204,1512,1192,1578
"Hurst, TX","City",4835576,40053,"Texas","Tarrant County","Dallas-Fort Worth-Arlington, TX",2024,11,-0.0302,-0.0514,0.2193,1284,1164,1355
"Haltom City, TX","City",4831928,45771,"Texas","Tarrant County","Dallas-Fort Worth-Arlington, TX",2024,11,-0.0112,-0.0175,0.2099,1256,1119,1307
"Euless, TX","City",4824768,60360,"Texas","Tarrant County","Dallas-Fort Worth-Arlington, TX",2024,11,-0.009,-0.0287,0.2248,1540,1244,1697
"Bedford, TX","City",4807132,49455,"Texas","Tarrant County","Dallas-Fort Worth-Arlington, TX",2024,11,-0.0117,-0.0017,0.2337,1355,1185,1531
"Arlington, TX","City",4804000,393469,"Texas","Tarrant County","Dallas-Fort Worth-Arlington, TX",2024,11,-0.0032,-0.0219,0.2519,1325,1145,1350
"Fort Worth, TX","City",4827000,924663,"Texas","Tarrant County","Dallas-Fort Worth-Arlington, TX",2024,11,-0.0081,-0.0321,0.1403,1336,1141,1317
"Flower Mound, TX","City",4826232,76630,"Texas","Denton County","Dallas-Fort Worth-Arlington, TX",2024,11,-0.0159,-0.0094,0.2152,1984,1625,1888
"Forney, TX","City",4826604,25269,"Texas","Kaufman County","Dallas-Fort Worth-Arlington, TX",2024,11,-0.0297,-0.0833,0.1368,1526,1326,1733
"Midland, TX","City",4848072,132490,"Texas","Midland County","Midland, TX",2024,11,-0.0047,0.0424,0.0349,1746,1481,1836
"League City, TX","City",4841980,113469,"Texas","Galveston County","Houston-The Woodlands-Sugar Land, TX",2024,11,-0.0055,0.0229,0.2158,1680,1375,1740
"Galveston, TX","City",4828068,53265,"Texas","Galveston County","Houston-The Woodlands-Sugar Land, TX",2024,11,-0.0035,0.0162,0.2122,1305,1139,1388
"Texas City, TX","City",4872392,53084,"Texas","Galveston County","Houston-The Woodlands-Sugar Land, TX",2024,11,0.0177,0.0834,0.2254,1312,1109,1295
"Waco, TX","City",4876000,140545,"Texas","McLennan County","Waco, TX",2024,11,0.0066,0.0362,0.4163,1157,957,1198
"Odessa, TX","City",4853388,113353,"Texas","Ector County","Odessa, TX",2024,11,0.0053,0.0145,0.0404,1633,1379,1651
"Longview, TX","City",4843888,82176,"Texas","Gregg County","Longview, TX",2024,11,-0.0297,-0.0118,0.231,1013,832,1003
"El Paso, TX","City",4824000,677181,"Texas","El Paso County","El Paso, TX",2024,11,0.0035,0.0419,0.3668,1144,910,1090
"Georgetown, TX","City",4829336,71788,"Texas","Williamson County","Austin-Round Rock-Georgetown, TX",2024,11,-0.0095,-0.0549,0.1382,1438,1185,1457
"Baytown, TX","City",4806128,84449,"Texas","Harris County","Houston-The Woodlands-Sugar Land, TX",2024,11,-0.004,-0.0097,0.1394,1307,1074,1283
"Plano, TX","City",4858016,284948,"Texas","Collin County","Dallas-Fort Worth-Arlington, TX",2024,11,-0.0078,-0.0471,0.1916,1670,1382,1749
"McKinney, TX","City",4845744,196160,"Texas","Collin County","Dallas-Fort Worth-Arlington, TX",2024,11,-0.0143,-0.0564,0.2017,1576,1212,1517
"Frisco, TX","City",4827684,202075,"Texas","Collin County","Dallas-Fort Worth-Arlington, TX",2024,11,-0.0071,-0.0312,0.168,1823,1458,1904
"Allen, TX","City",4801924,105444,"Texas","Collin County","Dallas-Fort Worth-Arlington, TX",2024,11,-0.009,-0.0325,0.209,1746,1397,1775
"San Marcos, TX","City",4865600,67143,"Texas","Hays County","Austin-Round Rock-Georgetown, TX",2024,11,-0.0309,-0.0484,0.1685,1162,1053,1202
"New Braunfels, TX","City",4850820,92993,"Texas","Comal County","San Antonio-New Braunfels, TX",2024,11,-0.0122,-0.0433,0.1494,1376,1264,1367
"Corpus Christi, TX","City",4817000,317804,"Texas","Nueces County","Corpus Christi, TX",2024,11,-0.0133,-0.019,0.0587,1206,1000,1223
"Temple, TX","City",4872176,83473,"Texas","Bell County","Killeen-Temple, TX",2024,11,0.0059,-0.059,0.2523,1029,840,1006
"Killeen, TX","City",4839148,153708,"Texas","Bell County","Killeen-Temple, TX",2024,11,-3e-04,-0.0408,0.3372,1106,744,978
"Beaumont, TX","City",4807000,114573,"Texas","Jefferson County","Beaumont-Port Arthur, TX",2024,11,-0.0147,0.0172,0.0456,1034,832,1066
"Pearland, TX","City",4856348,124478,"Texas","Brazoria County","Houston-The Woodlands-Sugar Land, TX",2024,11,-0.0069,0.0035,0.175,1540,1329,1587
"The Colony, TX","City",4872530,44323,"Texas","Denton County","Dallas-Fort Worth-Arlington, TX",2024,11,-0.0279,-0.0977,0.1836,1637,1370,1665
"Little Elm, TX","City",4843012,48241,"Texas","Denton County","Dallas-Fort Worth-Arlington, TX",2024,11,-0.0083,-0.0843,0.1426,1742,1264,1816
"Denton, TX","City",4819972,142262,"Texas","Denton County","Dallas-Fort Worth-Arlington, TX",2024,11,-0.0135,-0.0353,0.2335,1300,1080,1348
"Spring, TX","City",4869596,63930,"Texas","Harris County","Houston-The Woodlands-Sugar Land, TX",2024,11,-0.0065,-1e-04,0.1376,1675,1366,1483
"The Woodlands, TX","City",4872656,118402,"Texas","Montgomery County","Houston-The Woodlands-Sugar Land, TX",2024,11,-0.0145,-0.0076,0.1064,1687,1236,1645
"Wells Branch, TX","City",4877196,13941,"Texas","Travis County","Austin-Round Rock-Georgetown, TX",2024,11,-0.0156,-0.1104,0.087,1266,1109,1485
"Enterprise, NV","City",3223770,225461,"Nevada","Clark County","Las Vegas-Henderson-Paradise, NV",2024,11,0.0135,-0.0166,0.2418,1648,1311,1557
"Henderson, NV","City",3231900,318063,"Nevada","Clark County","Las Vegas-Henderson-Paradise, NV",2024,11,-0.0086,-0.0088,0.2308,1670,1361,1610
"Las Vegas, NV","City",3240000,644835,"Nevada","Clark County","Las Vegas-Henderson-Paradise, NV",2024,11,-0.0072,5e-04,0.2665,1397,1098,1332
"North Las Vegas, NV","City",3251800,264022,"Nevada","Clark County","Las Vegas-Henderson-Paradise, NV",2024,11,-0.008,0.0086,0.2875,1512,1066,1300
"Paradise, NV","City",3254600,189733,"Nevada","Clark County","Las Vegas-Henderson-Paradise, NV",2024,11,-0.0011,0.0148,0.4077,1353,1200,1388
"Reno, NV","City",3260600,265196,"Nevada","Washoe County","Reno, NV",2024,11,-0.0118,0.0394,0.1699,1317,1089,1363
"Sparks, NV","City",3268400,108025,"Nevada","Washoe County","Reno, NV",2024,11,-0.0016,0.0527,0.1762,1650,1313,1657
"Spring Valley, NV","City",3268585,220114,"Nevada","Clark County","Las Vegas-Henderson-Paradise, NV",2024,11,0.0021,0.007,0.2686,1514,1283,1443
"Birmingham, AL","City",107000,200431,"Alabama","Jefferson County","Birmingham-Hoover, AL",2024,11,-0.014,-0.0051,0.1666,1132,1053,1103
"Hoover, AL","City",135896,91995,"Alabama","Jefferson County","Birmingham-Hoover, AL",2024,11,0.0075,0.019,0.2158,1499,1254,1490
"Huntsville, AL","City",137000,215025,"Alabama","Madison County","Huntsville, AL",2024,11,-0.006,-0.0465,0.1306,1033,869,1029
"Madison, AL","City",145784,56967,"Alabama","Madison County","Huntsville, AL",2024,11,-0.0086,-0.0371,0.1728,1195,1076,1087
"Mobile, AL","City",150000,186316,"Alabama","Mobile County","Mobile, AL",2024,11,-0.0065,-0.0136,0.2854,1076,869,1083
"Montgomery, AL","City",151000,199819,"Alabama","Montgomery County","Montgomery, AL",2024,11,-0.0316,0.0257,0.3102,1119,870,1072
"Alameda, CA","City",600562,77565,"California","Alameda County","San Francisco-Oakland-Berkeley, CA",2024,11,0.0022,0.001,9e-04,2289,1995,2503
"Aliso Viejo, CA","City",600947,51896,"California","Orange County","Los Angeles-Long Beach-Anaheim, CA",2024,11,-0.0075,0.0069,0.4015,2968,2595,3064
"Anaheim, CA","City",602000,347111,"California","Orange County","Los Angeles-Long Beach-Anaheim, CA",2024,11,-0.0033,0.0018,0.2546,2257,1935,2388
"Berkeley, CA","City",606000,121385,"California","Alameda County","San Francisco-Oakland-Berkeley, CA",2024,11,-0.0301,-0.0717,-0.1602,1835,1693,2043
"Brea, CA","City",608100,47099,"California","Orange County","Los Angeles-Long Beach-Anaheim, CA",2024,11,-0.0073,0.0028,0.1982,2502,2087,2619
"Burbank, CA","City",608954,106389,"California","Los Angeles County","Los Angeles-Long Beach-Anaheim, CA",2024,11,0.0045,-0.0256,0.1027,2060,1762,2372
"Camarillo, CA","City",610046,70622,"California","Ventura County","Oxnard-Thousand Oaks-Ventura, CA",2024,11,-0.0063,-0.014,0.2411,2553,2077,2499
"Carlsbad, CA","City",611194,114745,"California","San Diego County","San Diego-Chula Vista-Carlsbad, CA",2024,11,-0.0147,-0.0203,0.34,2267,1888,2237
"Chino, CA","City",613210,91008,"California","San Bernardino County","Riverside-San Bernardino-Ontario, CA",2024,11,-0.0053,-0.0194,0.3621,2290,1648,2112
"Chino Hills, CA","City",613214,78223,"California","San Bernardino County","Riverside-San Bernardino-Ontario, CA",2024,11,-0.0134,0.0402,0.3257,2869,2426,2643
"Chula Vista, CA","City",613392,276103,"California","San Diego County","San Diego-Chula Vista-Carlsbad, CA",2024,11,-0.0028,-0.0177,0.3216,2336,1716,2245
"Citrus Heights, CA","City",613588,87127,"California","Sacramento County","Sacramento-Roseville-Folsom, CA",2024,11,-0.0027,0.0151,0.2623,1695,1542,1697
"Colton, CA","City",614890,53959,"California","San Bernardino County","Riverside-San Bernardino-Ontario, CA",2024,11,-0.0011,0.0396,0.3298,1617,1355,1673
"Concord, CA","City",616000,125007,"California","Contra Costa County","San Francisco-Oakland-Berkeley, CA",2024,11,3e-04,0.0221,0.085,2349,1975,2325
"Corona, CA","City",616350,158346,"California","Riverside County","Riverside-San Bernardino-Ontario, CA",2024,11,-0.0077,0.0143,0.3062,2323,1881,2231
"Costa Mesa, CA","City",616532,111490,"California","Orange County","Los Angeles-Long Beach-Anaheim, CA",2024,11,0.0109,0.0192,0.2432,2542,2269,2619
"Daly City, CA","City",617918,103648,"California","San Mateo County","San Francisco-Oakland-Berkeley, CA",2024,11,-0.02,-0.0247,-0.0767,2724,2425,2986
"Dublin, CA","City",620018,71068,"California","Alameda County","San Francisco-Oakland-Berkeley, CA",2024,11,-0.0061,-0.004,0.037,3092,2648,3066
"El Cajon, CA","City",621712,105721,"California","San Diego County","San Diego-Chula Vista-Carlsbad, CA",2024,11,0.0023,0.0038,0.3431,1655,1408,1726
"Emeryville, CA","City",622594,12840,"California","Alameda County","San Francisco-Oakland-Berkeley, CA",2024,11,-0.0199,-0.0406,-0.0793,2906,2816,3400
"Escondido, CA","City",622804,151114,"California","San Diego County","San Diego-Chula Vista-Carlsbad, CA",2024,11,-0.0029,-0.0189,0.3588,2117,1758,2160
"Fairfield, CA","City",623182,119420,"California","Solano County","Vallejo, CA",2024,11,-0.0186,0.0309,0.1643,2205,1790,2050
"Folsom, CA","City",624638,81077,"California","Sacramento County","Sacramento-Roseville-Folsom, CA",2024,11,-0.0064,0.0113,0.2145,2145,1719,2106
"Fremont, CA","City",626000,228795,"California","Alameda County","San Francisco-Oakland-Berkeley, CA",2024,11,-0.0102,0.0083,0.0358,2675,2223,2694
"Fresno, CA","City",627000,541528,"California","Fresno County","Fresno, CA",2024,11,-0.0064,-0.0023,0.2696,1317,1042,1286
"Fullerton, CA","City",628000,142280,"California","Orange County","Los Angeles-Long Beach-Anaheim, CA",2024,11,-0.0041,0.0196,0.2671,2356,2060,2467
"Glendale, CA","City",630000,194512,"California","Los Angeles County","Los Angeles-Long Beach-Anaheim, CA",2024,11,-0.0019,-0.0025,0.1402,2178,1876,2413
"Hayward, CA","City",633000,160602,"California","Alameda County","San Francisco-Oakland-Berkeley, CA",2024,11,-0.0141,-0.0135,0.0582,2503,2250,2531
"Huntington Beach, CA","City",636000,197481,"California","Orange County","Los Angeles-Long Beach-Anaheim, CA",2024,11,-0.0041,0.0228,0.2173,2492,2182,2464
"Irvine, CA","City",636770,304527,"California","Orange County","Los Angeles-Long Beach-Anaheim, CA",2024,11,0.0015,0.0159,0.2909,3076,2611,3200
"Laguna Niguel, CA","City",639248,64259,"California","Orange County","Los Angeles-Long Beach-Anaheim, CA",2024,11,-0.0046,-0.0027,0.3246,3115,2706,3072
"Lake Forest, CA","City",639496,85583,"California","Orange County","Los Angeles-Long Beach-Anaheim, CA",2024,11,2e-04,-0.0068,0.3225,3186,2737,3268
"La Mesa, CA","City",640004,60888,"California","San Diego County","San Diego-Chula Vista-Carlsbad, CA",2024,11,-0.0045,0.03,0.3343,2105,1865,2235
"Livermore, CA","City",641992,87154,"California","Alameda County","San Francisco-Oakland-Berkeley, CA",2024,11,-0.0163,-0.0457,0.0916,2594,1953,2540
"Long Beach, CA","City",643000,462293,"California","Los Angeles County","Los Angeles-Long Beach-Anaheim, CA",2024,11,-0.0031,0.0201,0.1248,1750,1564,1915
"Los Angeles, CA","City",644000,3881041,"California","Los Angeles County","Los Angeles-Long Beach-Anaheim, CA",2024,11,-0.0075,-0.0158,0.0263,2072,1853,2363
"Milpitas, CA","City",647766,79092,"California","Santa Clara County","San Jose-Sunnyvale-Santa Clara, CA",2024,11,-0.0119,0.0138,0.0557,2915,2627,2912
"Mission Viejo, CA","City",648256,93233,"California","Orange County","Los Angeles-Long Beach-Anaheim, CA",2024,11,0.003,0.0225,0.3178,2955,2367,2848
"Moreno Valley, CA","City",649270,209578,"California","Riverside County","Riverside-San Bernardino-Ontario, CA",2024,11,-6e-04,0.0172,0.3468,1938,1602,1822
"Mountain View, CA","City",649670,82132,"California","Santa Clara County","San Jose-Sunnyvale-Santa Clara, CA",2024,11,-0.0105,0.018,-0.0462,2926,2683,3262
"Murrieta, CA","City",650076,111899,"California","Riverside County","Riverside-San Bernardino-Ontario, CA",2024,11,-0.0095,-0.0265,0.3337,2091,1625,1958
"Napa, CA","City",650258,79233,"California","Napa County","Napa, CA",2024,11,-0.0166,0.0094,0.1131,2331,1806,2417
"Newport Beach, CA","City",651182,85159,"California","Orange County","Los Angeles-Long Beach-Anaheim, CA",2024,11,0.0055,0.0019,0.1683,3241,2702,3356
"Oakland, CA","City",653000,437825,"California","Alameda County","San Francisco-Oakland-Berkeley, CA",2024,11,0.0026,-0.0455,-0.2385,1955,1789,2148
"Oceanside, CA","City",653322,173722,"California","San Diego County","San Diego-Chula Vista-Carlsbad, CA",2024,11,-0.0084,-0.0154,0.2914,2402,1942,2414
"Ontario, CA","City",653896,176326,"California","San Bernardino County","Riverside-San Bernardino-Ontario, CA",2024,11,-0.0014,0.0119,0.3082,2047,1821,2009
"Orange, CA","City",653980,138728,"California","Orange County","Los Angeles-Long Beach-Anaheim, CA",2024,11,0.0096,0.0549,0.2545,2520,2104,2478
"Oxnard, CA","City",654652,202279,"California","Ventura County","Oxnard-Thousand Oaks-Ventura, CA",2024,11,-2e-04,0.0203,0.2696,2154,1805,2035
"Pasadena, CA","City",656000,137554,"California","Los Angeles County","Los Angeles-Long Beach-Anaheim, CA",2024,11,-0.0158,0.0148,0.1685,2447,2096,2697
"Pleasanton, CA","City",657792,78691,"California","Alameda County","San Francisco-Oakland-Berkeley, CA",2024,11,-0.0133,-0.0259,0.0115,2688,2111,2722
"Pomona, CA","City",658072,149831,"California","Los Angeles County","Los Angeles-Long Beach-Anaheim, CA",2024,11,-0.0191,0.0017,0.3219,1879,1503,1897
"Rancho Cucamonga, CA","City",659451,174696,"California","San Bernardino County","Riverside-San Bernardino-Ontario, CA",2024,11,-0.0068,0.0047,0.282,2097,1708,2108
"Rancho Santa Margarita, CA","City",659587,47702,"California","Orange County","Los Angeles-Long Beach-Anaheim, CA",2024,11,-0.0186,0.0085,0.3043,2700,2365,2865
"Redwood City, CA","City",660102,83077,"California","San Mateo County","San Francisco-Oakland-Berkeley, CA",2024,11,-0.0065,0.0521,-0.0581,3048,2705,3426
"Riverside, CA","City",662000,316076,"California","Riverside County","Riverside-San Bernardino-Ontario, CA",2024,11,-0.0024,-0.0144,0.2734,1784,1479,1777
"Rocklin, CA","City",662364,71676,"California","Placer County","Sacramento-Roseville-Folsom, CA",2024,11,-0.0144,-0.0111,0.2538,2445,1905,2431
"Roseville, CA","City",662938,148879,"California","Placer County","Sacramento-Roseville-Folsom, CA",2024,11,-0.0106,0.0173,0.2685,2115,1726,2153
"Sacramento, CA","City",664000,523600,"California","Sacramento County","Sacramento-Roseville-Folsom, CA",2024,11,-0.0093,0.0176,0.1877,1685,1382,1746
"San Bruno, CA","City",665028,43218,"California","San Mateo County","San Francisco-Oakland-Berkeley, CA",2024,11,0.0102,0.0376,-0.0829,2791,2383,2890
"Ventura, CA","City",665042,110358,"California","Ventura County","Oxnard-Thousand Oaks-Ventura, CA",2024,11,-0.001,0.0015,0.2313,2130,1791,2250
"San Clemente, CA","City",665084,64232,"California","Orange County","Los Angeles-Long Beach-Anaheim, CA",2024,11,-0.0176,0.0089,0.3095,2514,2244,2539
"San Diego, CA","City",666000,1383987,"California","San Diego County","San Diego-Chula Vista-Carlsbad, CA",2024,11,-9e-04,-0.0069,0.2356,2302,1962,2459
"San Francisco, CA","City",667000,851036,"California","San Francisco County","San Francisco-Oakland-Berkeley, CA",2024,11,0,0.0313,-0.1243,2728,2754,3264
"San Jose, CA","City",668000,1001176,"California","Santa Clara County","San Jose-Sunnyvale-Santa Clara, CA",2024,11,-0.0115,0.0261,0.0331,2779,2418,2869
"San Leandro, CA","City",668084,89723,"California","Alameda County","San Francisco-Oakland-Berkeley, CA",2024,11,-0.0083,-0.0284,0.0578,2176,1872,2382
